Institution,City,State,AdmissionRate,Undergraduates,CarnegieClassification,Ownership,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
Lyon College,Batesville,AR,0.2721,576.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0347,0.0,0.0,0.0208,0.0,0.0,0.0278,0.0,0.0,0.1528,0.0556,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.1667,0.0,0.0,0.1458,0.0,0.0,0.0,0.0,0.0764,0.0,0.2153,0.0347
University of Arkansas,Fayetteville,AR,0.8267,24001.0,Doctoral Universities: Very High Research Activity,Public,0.0453,0.0053,0.0091,0.0,0.0731,0.0,0.0211,0.0,0.0264,0.1084,0.0,0.0085,0.0398,0.0,0.0119,0.0,0.0,0.047,0.0047,0.0,0.0066,0.0506,0.0017,0.0,0.0185,0.0,0.04,0.0176,0.0134,0.037,0.0,0.0,0.0,0.0,0.0319,0.0972,0.2726,0.0123
University of Arkansas at Pine Bluff,Pine Bluff,AR,0.6753,2444.0,Baccalaureate Colleges: Diverse Fields,Public,0.0408,0.0082,0.0,0.0,0.0163,0.0,0.0163,0.0,0.1196,0.0,0.0679,0.0,0.0217,0.0,0.0082,0.1087,0.0,0.1168,0.0109,0.0,0.0,0.0,0.0,0.0,0.0245,0.0,0.0353,0.0679,0.0435,0.0435,0.0,0.0,0.0,0.0,0.0462,0.0761,0.1277,0.0
Arkansas State University,Jonesboro,AR,0.6329,7478.0,Doctoral Universities: High Research Activity,Public,0.0367,0.0051,0.0,0.0,0.0739,0.0,0.0166,0.0,0.0561,0.0233,0.0055,0.0047,0.0,0.0,0.0071,0.2623,0.0,0.0281,0.0047,0.0,0.0047,0.0375,0.0004,0.0,0.0051,0.0,0.0371,0.0051,0.017,0.0427,0.0,0.0,0.0,0.0,0.0202,0.1936,0.1071,0.0051
Arkansas Tech University,Russellville,AR,0.9437,6467.0,Master's Colleges & Universities: Larger Programs,Public,0.0148,0.0071,0.0,0.0009,0.0109,0.0,0.0387,0.0074,0.05,0.0287,0.0166,0.0009,0.008,0.0,0.0083,0.1845,0.0,0.0124,0.0015,0.0,0.0337,0.0044,0.0,0.0,0.0053,0.0,0.0225,0.0437,0.0018,0.0095,0.0059,0.0287,0.0177,0.0,0.0148,0.3015,0.1114,0.0086
Baptist Health College Little Rock,Little Rock,AR,0.0,666.0,Special Focus Two-Year: Health Professions,Private nonprofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
University of Central Arkansas,Conway,AR,0.9237,7763.0,Doctoral/Professional Universities,Public,0.0,0.0116,0.0,0.0,0.037,0.0,0.0306,0.0,0.084,0.0026,0.0,0.0111,0.0222,0.0,0.0238,0.0359,0.0,0.0555,0.0053,0.0,0.009,0.0534,0.0042,0.0,0.0148,0.0,0.0681,0.0,0.0037,0.066,0.0,0.0,0.0,0.0,0.0761,0.2087,0.1648,0.0116
Central Baptist College,Conway,AR,0.616,546.0,Baccalaureate Colleges: Diverse Fields,Private nonprofit,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.1181,0.0,0.0,0.0,0.0,0.0,0.0347,0.1389,0.0,0.0347,0.0,0.0069,0.0,0.1389,0.0,0.1111,0.0,0.0,0.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1806,0.0139
Harding University,Searcy,AR,0.5414,3262.0,Doctoral/Professional Universities,Private nonprofit,0.0,0.0,0.0,0.0,0.0637,0.0,0.0613,0.0,0.1262,0.0613,0.0,0.0139,0.0139,0.0,0.015,0.0428,0.0,0.0278,0.0035,0.0,0.037,0.0556,0.0,0.0324,0.0012,0.0,0.0509,0.0127,0.0243,0.0058,0.0,0.0,0.0,0.0,0.0544,0.1192,0.1725,0.0046
Henderson State University,Arkadelphia,AR,0.7501,2205.0,Master's Colleges & Universities: Medium Programs,Public,0.0,0.0,0.0,0.0,0.0311,0.0,0.0147,0.0,0.1355,0.0092,0.0,0.0018,0.0092,0.0037,0.0293,0.0568,0.0,0.0275,0.0018,0.0,0.0,0.0678,0.0,0.0,0.0183,0.0,0.0623,0.0403,0.0385,0.0366,0.0,0.0,0.0,0.033,0.0476,0.174,0.1465,0.0147
Hendrix College,Conway,AR,0.683,1103.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0342,0.0,0.0,0.0,0.0,0.0427,0.0,0.0,0.0,0.0,0.0171,0.0,0.0,0.0556,0.0,0.0,0.1538,0.0256,0.0,0.0427,0.0,0.0214,0.0,0.0726,0.0,0.1154,0.0,0.0,0.1709,0.0,0.0,0.0,0.0,0.0385,0.1026,0.047,0.0598
John Brown University,Siloam Springs,AR,0.5287,1381.0,Master's Colleges & Universities: Medium Programs,Private nonprofit,0.0,0.0,0.0,0.0,0.0261,0.0,0.0,0.0,0.0418,0.0757,0.0,0.0026,0.0522,0.0,0.0261,0.0313,0.0,0.0313,0.0104,0.0,0.0392,0.0444,0.0,0.0522,0.0078,0.0,0.1123,0.0,0.0,0.0157,0.0,0.0,0.0,0.0,0.1201,0.0731,0.2272,0.0104
Ouachita Baptist University,Arkadelphia,AR,0.7375,1572.0,Baccalaureate Colleges: Arts & Sciences Focus,Private nonprofit,0.0,0.0,0.0,0.0,0.0896,0.0,0.0112,0.0,0.0896,0.0,0.0,0.0112,0.0112,0.0,0.0196,0.0,0.0,0.1317,0.0028,0.0,0.0196,0.0812,0.0504,0.0308,0.0168,0.0,0.0336,0.0,0.0,0.0224,0.0,0.0,0.0,0.0,0.1064,0.07,0.1905,0.0112
