Institution,City,State,Undergraduates,Median Earnings
Lake Tahoe Community College,South Lake Tahoe,CA,1830.0,33429.0
Lancaster Beauty School,Lancaster,CA,82.0,18466.0
Laney College,Oakland,CA,5722.0,35567.0
Lassen Community College,Susanville,CA,1392.0,30529.0
Latin American Bible Institute,La Puente,CA,49.0,
Life Chiropractic College West,Hayward,CA,,
Lincoln University,Oakland,CA,168.0,
Southern California Seminary,El Cajon,CA,46.0,40392.0
La Sierra University,Riverside,CA,1270.0,60858.0
Loma Linda University,Loma Linda,CA,980.0,85686.0
Long Beach City College,Long Beach,CA,19918.0,36665.0
Southern California University of Health Sciences,Whittier,CA,130.0,63949.0
Los Angeles Harbor College,Wilmington,CA,5487.0,39602.0
Los Angeles Pierce College,Woodland Hills,CA,13016.0,43074.0
Los Angeles Southwest College,Los Angeles,CA,3539.0,29508.0
Los Angeles Trade Technical College,Los Angeles,CA,7867.0,32872.0
Los Angeles Valley College,Valley Glen,CA,11201.0,40612.0
The Master's University and Seminary,Santa Clarita,CA,1338.0,53478.0
Los Angeles City College,Los Angeles,CA,10494.0,32015.0
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,180.0,107401.0
Los Angeles Mission College,Sylmar,CA,6538.0,38075.0
Los Medanos College,Pittsburg,CA,6919.0,42282.0
Loyola Marymount University,Los Angeles,CA,6999.0,71771.0
Lu Ross Academy,Ventura,CA,272.0,23492.0
Lyle's College of Beauty,Bakersfield,CA,93.0,20457.0
Lyle's College of  Beauty,Fresno,CA,103.0,20457.0
Lytles Redwood Empire Beauty College,Santa Rosa,CA,76.0,25493.0
MTI College,Sacramento,CA,550.0,36934.0
College of Marin,Kentfield,CA,3584.0,45029.0
Marymount California University,Rancho Palos Verdes,CA,443.0,43555.0
Mendocino College,Ukiah,CA,2223.0,36305.0
Menlo College,Atherton,CA,743.0,64817.0
Merced College,Merced,CA,7737.0,34719.0
Merritt College,Oakland,CA,4798.0,39070.0
Mills College at Northeastern University,Oakland,CA,438.0,57423.0
MiraCosta College,Oceanside,CA,10436.0,38606.0
Mission College,Santa Clara,CA,4950.0,48680.0
Modern Beauty Academy,Oxnard,CA,81.0,23375.0
Modesto Junior College,Modesto,CA,12949.0,37417.0
Moler Barber College,Oakland,CA,346.0,
Middlebury Institute of International Studies at Monterey,Monterey,CA,13.0,69022.0
Monterey Peninsula College,Monterey,CA,5706.0,36272.0
Moorpark College,Moorpark,CA,11336.0,48294.0
Mt San Antonio College,Walnut,CA,22907.0,42999.0
Mount Saint Mary's University,Los Angeles,CA,1898.0,72991.0
Mt San Jacinto Community College District,San Jacinto,CA,12452.0,35871.0
Musicians Institute,Hollywood,CA,744.0,31511.0
Napa Valley College,Napa,CA,3777.0,44897.0
National Holistic Institute,Emeryville,CA,1201.0,31158.0
National University,San Diego,CA,7160.0,66998.0
Naval Postgraduate School,Monterey,CA,,
Newschool of Architecture and Design,San Diego,CA,301.0,62773.0
North Adrian's College of Beauty Inc,Modesto,CA,221.0,18867.0
North-West College-Pomona,Pomona,CA,190.0,33990.0
North-West College-West Covina,West Covina,CA,384.0,35274.0
North-West College-Van Nuys,Van Nuys,CA,171.0,31984.0
San Francisco Bay University,Fremont,CA,6.0,
Notre Dame de Namur University,Belmont,CA,0.0,70800.0
Occidental College,Los Angeles,CA,1952.0,68355.0
Ohlone College,Fremont,CA,6929.0,54374.0
Orange Coast College,Costa Mesa,CA,15761.0,45809.0
Otis College of Art and Design,Los Angeles,CA,1191.0,51787.0
Oxnard College,Oxnard,CA,5789.0,35555.0
Hope International University,Fullerton,CA,619.0,43659.0
Concorde Career College-San Diego,San Diego,CA,735.0,34623.0
Palo Alto University,Palo Alto,CA,64.0,71522.0
Pacific Oaks College,Pasadena,CA,479.0,54409.0
Pacific School of Religion,Berkeley,CA,,
Pacific States University,Los Angeles,CA,2.0,
Pacific Union College,Angwin,CA,799.0,67209.0
University of the Pacific,Stockton,CA,3269.0,80965.0
Palo Verde College,Blythe,CA,3734.0,30773.0
Palomar College,San Marcos,CA,13873.0,38316.0
Pasadena City College,Pasadena,CA,19090.0,40446.0
Pepperdine University,Malibu,CA,3706.0,78224.0
Pitzer College,Claremont,CA,1168.0,64269.0
Platt College-San Diego,San Diego,CA,64.0,44778.0
Point Loma Nazarene University,San Diego,CA,3170.0,64114.0
Pomona College,Claremont,CA,1747.0,74305.0
Porterville College,Porterville,CA,2725.0,33233.0
Professional Institute of Beauty,El Monte,CA,137.0,16820.0
Santa Ana College,Santa Ana,CA,20846.0,40796.0
Pardee RAND Graduate School,Santa Monica,CA,,
Shasta School of Cosmetology,Redding,CA,116.0,
University of Redlands,Redlands,CA,2596.0,68726.0
College of the Redwoods,Eureka,CA,2947.0,32001.0
Salon Success Academy-Upland,Upland,CA,194.0,24521.0
Salon Success Academy-Corona,Corona,CA,187.0,23306.0
Rio Hondo College,Whittier,CA,13960.0,41919.0
Riverside City College,Riverside,CA,15516.0,38541.0
Dongguk University Los Angeles,Los Angeles,CA,2.0,
Sacramento City College,Sacramento,CA,16654.0,39489.0
Saddleback College,Mission Viejo,CA,15431.0,46604.0
Samuel Merritt University,Oakland,CA,677.0,129442.0
San Diego City College,San Diego,CA,10852.0,35498.0
San Diego Mesa College,San Diego,CA,15217.0,43015.0
San Diego Miramar College,San Diego,CA,10881.0,44051.0
San Diego State University,San Diego,CA,30991.0,61522.0
University of San Diego,San Diego,CA,5601.0,78234.0
San Francisco Art Institute,San Francisco,CA,26.0,34441.0
San Francisco Conservatory of Music,San Francisco,CA,228.0,30576.0
San Francisco State University,San Francisco,CA,22563.0,64797.0
University of San Francisco,San Francisco,CA,5937.0,83794.0
San Joaquin College of Law,Clovis,CA,,
San Joaquin Delta College,Stockton,CA,13242.0,37030.0
